Designator,Mid X,Mid Y,Rotation,Layer
D1,47.5,-50.0,0.0,top
D2,52.5,-50.0,0.0,top
H1,47.5,-52.69176,180.0,top
H2,52.5,-52.69176,180.0,top
J1,50.0,-56.25,0.0,top
