Designator,Footprint,Quantity,Value,LCSC Part #
"D1_15, D1_14, D1_13, D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_15, D2_14, D2_13, D2_12, D2_11, D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",EVERLIGHT_6-SMD-1.6x1.6,30,LED_RGB,C131204
"H1_15, H1_14, H1_13, H1_12, H1_11, H1_10, H1_9, H1_8, H1_7, H1_6, H1_5, H1_4, H1_3, H1_2, H1, H2_15, H2_14, H2_13, H2_12, H2_11, H2_10, H2_9, H2_8, H2_7, H2_6, H2_5, H2_4, H2_3, H2_2, H2",BIVAR_SLP3-150-100-R,30,SLP3-150-100-R,
"J1_15, J1_14, J1_13, J1_12, J1_11, J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",JST_SM08B-SURS-TF(LF)(SN),15,SM08B-SURS-TF(LF)(SN),C595161
