"#","Qty","Reference","Value","Footprint","DNP","OEPS PN","MPN","DESCRIPTION"
"35","2","R20,R22","21k 1%","fmc-host:0402","","OEPS020016","ERJ-2RKF2102X","RESISTOR:   SMD 0402 21kΩ ±1% 0.100W   [ERJ-2RKF2102X] [SMD]"
"36","4","R23,R24,R28,R29","49.9","fmc-host:0402","","OEPS020002","RR0510R-49R9-D","RESISTOR:   SMD 0402 49.9Ω ±0.5% 0.063W   [RR0510R-49R9-D] [SMD]"
"37","3","R25,R26,R27","100","fmc-host:0402","","OEPS020004","ERJ-2RKF1000X","RESISTOR:   SMD 0402 100Ω ±1% 0.100W   [ERJ-2RKF1000X] [SMD]"
"38","9","R30,R31,R32,R33,R40,R43,R71,R73,R75","4.7k","fmc-host:0402","","OEPS020010","ERJ-2RKF4701X","RESISTOR:   SMD 0402 4.7kΩ ±1% 0.100W   [ERJ-2RKF4701X] [SMD]"
"39","2","R34,R36","DNP","fmc-host:0402","DNP","OEPS000000","DNP","DNP: Do Not Populate (DNI)"
"40","2","R48,R66","0","fmc-host:0402","","OEPS020001","RC0402JR-070RL","RESISTOR:   SMD 0402 0Ω 1A   [RC0402JR-070RL] [SMD]"
"41","4","R53,R54,R55,R56","2.2k","fmc-host:RN2X8-1506","","OEPS080206","EXB-2HV222JV","IC:   RES ARRAY 8 RES 2.2K OHM 1506   [EXB-2HV222JV] [SMD]"
"42","2","R60,R61","3.48k","fmc-host:0402","","OEPS020009","ERJ-2RKF3481X","RESISTOR:   SMD 0402 3.48kΩ ±1% 0.100W   [ERJ-2RKF3481X] [SMD]"
"43","1","R62","649k","fmc-host:0402","","OEPS020022","ERJ-2RKF6493X","RESISTOR:   SMD 0402 649kΩ ±1% 0.100W   [ERJ-2RKF6493X] [SMD]"
"44","1","R69","2.2k","fmc-host:0402","","OEPS020174","ERJ-2RKF2201X","RESISTOR:   SMD 0402 2.2kΩ ±1% 0.100W   [ERJ-2RKF2201X] [SMD]"
"45","1","R70","15k","fmc-host:0402","","OEPS020015","ERJ-2RKF1502X","RESISTOR:   SMD 0402 15kΩ ±1% 0.100W   [ERJ-2RKF1502X] [SMD]"
"46","2","R72,R74","47k","fmc-host:0402","","OEPS020017","ERJ-2RKF4702X","RESISTOR:   SMD 0402 47kΩ ±1% 0.100W   [ERJ-2RKF4702X] [SMD]"
"47","1","R77","178k","fmc-host:0402","","OEPS020021","ERJ-2RKF1783X","RESISTOR:   SMD 0402 178kΩ ±1% 0.100W   [ERJ-2RKF1783X] [SMD]"
"48","2","R80,R81","73.2k","fmc-host:0402","","OEPS020018","ERJ-2RKF7322X","RESISTOR:   SMD 0402 73.2kΩ ±1% 0.100W   [ERJ-2RKF7322X] [SMD]"
"49","2","S1,S2","CHS-01TA","fmc-host:DIP01-SMD-GULL","DNP","OEPS100086","CHS-01TA","OTHER:   SWITCH SLIDE DIP SPST 0.1A 6V 1 POS   [CHS-01TA] [Other]"
"50","1","S3","CHS-02TB","fmc-host:CHS-02TB","","OEPS100087","CHS-02TB","OTHER:   SWITCH SLIDE DIP SPST 0.1A 6V 2 POS   [CHS-02TB] [Other]"
"51","1","U1","SN74LVC2G34DCKR","fmc-host:SC70","","OEPS080207","SN74LVC2G34DCKR","IC:   BUFFER NON-INVERT 2CH   [SN74LVC2G34DCKR] [SC-70-6]"
"52","1","U2","SN65LVDS9638DGN","fmc-host:MSOP-8-PAD-3X3","","OEPS080007","SN65LVDS9638DGN","IC:   LVDS 2channel driver   [SN65LVDS9638DGN] [8-MSOP-PowerPad]"
"53","1","U3","FIN1032MTCX","fmc-host:TSSOP-16","","OEPS080006","FIN1032MTCX","IC:   LVDS 4channel receiver   [FIN1032MTCX] [16-TSSOP]"
"54","2","U4,U5","ADCMP600","fmc-host:SOT-23-5","","OEPS080208","ADCMP600BRJZ-R2","IC:   COMPARATOR 1 GP   [ADCMP600BRJZ-R2] [SOT23-5]"
"55","3","U6,U7,U8","DG1412E","fmc-host:QFN16-4X4MM","","OEPS080209","DG1412EEN-T1-GE4","IC:   SWITCH SPST-NOX4 1.5OHM   [DG1412EEN-T1-GE4] [16-QFN (4x4)]"
"56","2","U9,U10","DS90UB934-Q1","fmc-host:WQFN48-7X7-PAD","","OEPS080210","DS90UB934TRGZRQ1","IC:   DESERIALIZER FPD-Link III   [DS90UB934TRGZRQ1] [48-VQFN (7x7)]"
"57","1","U11","DS91M040","fmc-host:WQFN32-5X5","","OEPS080211","DS91M040TSQ/NOPB","IC:   TRANSCEIVER Half LVDS   [DS91M040TSQ/NOPB] [32-WQFN (5x5)]"
"58","1","U12","AD5766BCPZ-RL7","fmc-host:CP_40_7","","OEPS080212","AD5766BCPZ-RL7","IC:   DAC 16BIT 16CH   [AD5766BCPZ-RL7] [40-LFCSP-WQ (6x6)]"
"59","1","U13","MCP47FEB02A0-E/ST","fmc-host:TSSOP-8","","OEPS080213","MCP47FEB02A0-E/ST","IC:   DAC 8BIT 2CH   [MCP47FEB02A0-E/ST] [8-TSSOP]"
"60","1","U14","LM4132AMF-2.5/NOPB","fmc-host:SOT-23-5","","OEPS080214","LM4132AMF-2.5/NOPB","IC:   VREF 2.5V 0.05%   [LM4132AMF-2.5/NOPB] [SOT-23-5]"
"61","1","U15","AD7616BSTZ","fmc-host:ST_80_2","","OEPS080205","AD7616BSTZ","IC:   ADC 16BIT 16 channels   [AD7616BSTZ] [80-LQFP]"
"62","1","U16","AD5142BRUZ10","fmc-host:TSSOP-16_4.4X5.0","","OEPS080118","AD5142BRUZ10","IC:   DGT POT 10KOHM 256TAP 16TSSOP   [AD5142BRUZ10] [16-TSSOP]"
"63","1","U17","LTM4622A","fmc-host:BGA_5X5_625X625","","OEPS080003","LTM4622AIY#PBF","IC:   DC-DC CONVERTER 2outputs1.5-12V 1.5-12V   [LTM4622AIY#PBF] [25-BGA]"
"64","3","U18,U25,U26","D3V3XA4B10LP","Package_DFN_QFN:Diodes_UDFN-10_1.0x2.5mm_P0.5mm","","OEPS080204","D3V3XA4B10LP-7","IC:   TVS DIODE ARRAY   [D3V3XA4B10LP-7] [10-UFDFN]"
"65","2","U19,U20","TPS7A49","fmc-host:PVSON-N8+4-3X3","","OEPS080215","TPS7A4901DRBR","IC:   LDO ADJ 150mA   [TPS7A4901DRBR] [8-SON (3x3)]"
"66","1","U21","TPS7A30","fmc-host:PVSON-N8+4-3X3","","OEPS080216","TPS7A3001DRBT","IC:   LDO NEGATIVE ADJ 200mA   [TPS7A3001DRBT] [8-SON (3x3)]"
"67","1","U22","24AA64-I/ST","fmc-host:TSSOP8","","OEPS080217","24AA64-I/ST","IC:   EEPROM 64KBIT I2C   [24AA64-I/ST] [8-TSSOP]"
"68","1","U23","LTM8049IY#PBF","fmc-host:LTM8049","","OEPS080218","LTM8049IY#PBF","IC:   DC DC CONVERTER ADJ 2outputs 2x1A   [LTM8049IY#PBF] [77-BGA (15x9)]"
"69","1","U24","TPS62061DSGT","fmc-host:WSON8-2X2","","OEPS080219","TPS62061DSGT","IC:   FIXED REG BUCK 1.8V 1.6A   [TPS62061DSGT] [8-WSON (2x2)]"
